[#urls] [#bytes] [host] [#robots] [#remaining] [#novel-urls] [#novel-bytes] [#dup-by-hash-urls] [#dup-by-hash-bytes] [#not-modified-urls] [#not-modified-bytes]
28 3512 dns: 0 0 28 3512 0 0 0 0 
28 678505 img3.douban.com 0 139 28 678505 0 0 0 0 
12 286707 www.douban.com 0 142 12 286707 0 0 0 0 
10 89583 p0.qhimg.com 0 0 10 89583 0 0 0 0 
7 51742 p1.qhimg.com 0 0 7 51742 0 0 0 0 
7 231472 www.haosou.com 0 0 7 231472 0 0 0 0 
5 118177 img3.doubanio.com 4 0 5 118177 0 0 0 0 
3 78242 accounts.douban.com 0 0 3 78242 0 0 0 0 
3 148355 movie.douban.com 0 0 3 148355 0 0 0 0 
3 10036 p2.qhimg.com 0 0 3 10036 0 0 0 0 
3 3424 p4.qhimg.com 0 0 3 3424 0 0 0 0 
3 427740 p5.qhimg.com 0 0 3 427740 0 0 0 0 
3 863 s.qhupdate.com 0 0 3 863 0 0 0 0 
3 1094 so.360.cn 0 0 3 1094 0 0 0 0 
2 20648 connect.qq.com 0 0 2 20648 0 0 0 0 
2 728 douban.com 0 0 2 728 0 0 0 0 
2 183241 img4.douban.com 7 0 2 183241 0 0 0 0 
2 958 js.passport.qihucdn.com 0 0 2 958 0 0 0 0 
2 13178 p3.qhimg.com 0 0 2 13178 0 0 0 0 
2 2348 p6.qhimg.com 0 0 2 2348 0 0 0 0 
2 79372 s.doubanio.com 0 0 2 79372 0 0 0 0 
2 1678 s0.qhimg.com 0 0 2 1678 0 0 0 0 
2 1672 s1.qhimg.com 0 0 2 1672 0 0 0 0 
2 7641 s2.qhimg.com 0 0 2 7641 0 0 0 0 
2 2470 s4.qhimg.com 0 0 2 2470 0 0 0 0 
2 6879 service.weibo.com 0 0 2 6879 0 0 0 0 
2 21455 sns.qzone.qq.com 0 0 2 21455 0 0 0 0 
2 1004 v.t.sina.com.cn 0 0 2 1004 0 0 0 0 
1 282 erebor.douban.com 1 0 1 282 0 0 0 0 
